"filename", "language", "Markdown", "JavaScript", "Vue", "CSS", "XML", "JSON", "HTML", "SQL", "comment", "blank", "total"
"c:\Users\sanyi\Desktop\A\project\README.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\sanyi\Desktop\A\project\backend\app.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 0, 0, 13, 144
"c:\Users\sanyi\Desktop\A\project\backend\modules\database-connection.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 0, 4, 15, 128
"c:\Users\sanyi\Desktop\A\project\backend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1308, 0, 0, 0, 1, 1309
"c:\Users\sanyi\Desktop\A\project\backend\package.json", "JSON", 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\sanyi\Desktop\A\project\database_scheme.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 38, 43, 20, 101
"c:\Users\sanyi\Desktop\A\project\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\sanyi\Desktop\A\project\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2423, 0, 0, 0, 1, 2424
"c:\Users\sanyi\Desktop\A\project\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\sanyi\Desktop\A\project\frontend\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\sanyi\Desktop\A\project\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\sanyi\Desktop\A\project\frontend\src\App.vue", "Vue", 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\sanyi\Desktop\A\project\frontend\src\assets\close.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\sanyi\Desktop\A\project\frontend\src\assets\hamburger.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 3, 17
"c:\Users\sanyi\Desktop\A\project\frontend\src\assets\vue.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\sanyi\Desktop\A\project\frontend\src\components\DefaultButton.vue", "Vue", 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\sanyi\Desktop\A\project\frontend\src\components\HabitAddBar.vue", "Vue", 0, 0, 152, 0, 0, 0, 0, 0, 0, 3, 155
"c:\Users\sanyi\Desktop\A\project\frontend\src\components\HabitPanel.vue", "Vue", 0, 0, 35, 0, 0, 0, 0, 0, 0, 2, 37
"c:\Users\sanyi\Desktop\A\project\frontend\src\components\InputBar.vue", "Vue", 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\sanyi\Desktop\A\project\frontend\src\components\NavBar.vue", "Vue", 0, 0, 53, 0, 0, 0, 0, 0, 0, 3, 56
"c:\Users\sanyi\Desktop\A\project\frontend\src\components\TextBox.vue", "Vue", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\sanyi\Desktop\A\project\frontend\src\components\TodaysTasks.vue", "Vue", 0, 0, 71, 0, 0, 0, 0, 0, 0, 3, 74
"c:\Users\sanyi\Desktop\A\project\frontend\src\main.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 8, 58
"c:\Users\sanyi\Desktop\A\project\frontend\src\style.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\sanyi\Desktop\A\project\frontend\src\views\HabitsView.vue", "Vue", 0, 0, 112, 0, 0, 0, 0, 0, 0, 2, 114
"c:\Users\sanyi\Desktop\A\project\frontend\src\views\HomeView.vue", "Vue", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\sanyi\Desktop\A\project\frontend\src\views\LoginView.vue", "Vue", 0, 0, 116, 0, 0, 0, 0, 0, 0, 4, 120
"c:\Users\sanyi\Desktop\A\project\frontend\src\views\RegisterView.vue", "Vue", 0, 0, 110, 0, 0, 0, 0, 0, 0, 3, 113
"c:\Users\sanyi\Desktop\A\project\frontend\tailwind.config.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\sanyi\Desktop\A\project\frontend\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 7, 308, 738, 3, 16, 3778, 13, 38, 50, 103, 5054
